bin,n_a,mean_mm_a,std_mm_a,median_q_a,sqrt_n_bound_a,n_b,mean_mm_b,std_mm_b,median_q_b,sqrt_n_bound_b,delta_mean_mm,delta_median_q
0.0,139,11590.480215827338,6619.335965909849,1.0,561.4447488117212,144,10015.958333333334,7330.389578963088,1.0,610.865798246924,1574.5218824940039,0.0
1.0,137,13873.100364963504,4508.444979761088,1.0,385.1824492853573,130,13909.811538461538,4452.963676467124,1.0,390.5507502128403,-36.71117349803353,0.0
2.0,144,14667.057291666666,3069.0020875791756,1.0,255.7501739649313,150,14893.793333333333,2473.528907043963,1.0,201.9627895427291,-226.736041666667,0.0
3.0,137,15281.2299270073,16.479991723314345,1.0,1.407980712792245,134,15278.039179104477,14.170711829585482,1.0,1.2241630517591164,3.1907479028232046,0.0
4.0,141,15143.668439716312,1284.5015144490228,1.0,108.17454180060976,139,15254.086330935252,14.921009171678069,1.0,1.265583479907065,-110.41789121893999,0.0
5.0,138,15226.552536231884,11.149017701589598,1.0,0.9490674130023038,140,15226.923214285714,13.098166177749313,1.0,1.1069970874265984,-0.37067805383048835,0.0
6.0,139,6347.192446043166,7527.9754339626215,0.0,638.5145425989871,137,5883.295620437956,7433.841277494967,0.0,635.1159221678773,463.8968256052094,0.0
7.0,145,0.0,0.0,0.0,0.0,146,0.0,0.0,0.0,0.0,0.0,0.0
8.0,138,0.0,0.0,0.0,0.0,137,0.0,0.0,0.0,0.0,0.0,0.0
9.0,148,0.0,0.0,0.0,0.0,145,0.0,0.0,0.0,0.0,0.0,0.0
10.0,119,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0
11.0,121,0.0,0.0,0.0,0.0,125,0.0,0.0,0.0,0.0,0.0,0.0
12.0,127,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0
13.0,143,0.0,0.0,0.0,0.0,139,0.0,0.0,0.0,0.0,0.0,0.0
14.0,138,0.0,0.0,0.0,0.0,135,0.0,0.0,0.0,0.0,0.0,0.0
15.0,145,0.0,0.0,0.0,0.0,148,0.0,0.0,0.0,0.0,0.0,0.0
16.0,133,0.0,0.0,0.0,0.0,138,0.0,0.0,0.0,0.0,0.0,0.0
17.0,149,0.0,0.0,0.0,0.0,140,0.0,0.0,0.0,0.0,0.0,0.0
18.0,134,0.0,0.0,0.0,0.0,135,0.0,0.0,0.0,0.0,0.0,0.0
19.0,135,8632.583333333334,7075.032015116637,1.0,608.921803742912,134,8169.014925373134,7163.38798021151,1.0,618.8224696293756,463.5684079601997,0.0
20.0,141,12684.289007092199,4059.301402806242,1.0,341.8548474561292,139,12575.030575539568,4226.287337585715,1.0,358.4690133386842,109.25843155263101,0.0
21.0,130,13087.726923076923,2344.2880641175693,1.0,205.60766462000655,133,12688.295112781954,3224.6355292102194,1.0,279.61136154598677,399.4318102949692,0.0
22.0,142,12865.81338028169,1548.7108269668609,1.0,129.9649255382839,141,12874.613475177304,1555.460475135894,1.0,130.99340272787336,-8.800094895614166,0.0
23.0,142,12630.223591549297,120.75886568537827,2.0,10.133858893222317,140,12276.526785714286,2116.1752391313485,2.0,178.84945071029952,353.6968058350103,0.0
24.0,131,12148.751908396947,1074.760407779774,2.0,93.90225282158598,133,12245.817669172933,104.40915167922127,2.0,9.053421633060877,-97.06576077598584,0.0
25.0,143,11884.38111888112,107.87133226252166,2.0,9.020653971335385,147,11882.724489795919,108.40618274704549,2.0,8.941191255832354,1.6566290852006205,0.0
26.0,134,11547.220149253732,93.57458548987366,2.0,8.083612984156554,127,11546.86811023622,87.7369231583225,3.0,7.785392988067885,0.3520390175108332,-1.0
27.0,145,11226.624137931034,94.53165862693108,3.0,7.850426952043429,144,11233.085069444445,94.49205003742314,3.0,7.874337503118595,-6.460931513411197,0.0
28.0,141,10919.359929078015,90.1888711102306,3.0,7.595273106430137,140,10928.560714285713,90.85774254724294,3.0,7.678880768883054,-9.200785207698573,0.0
29.0,145,10627.855172413792,96.7759604354267,3.0,8.036806072666565,145,10636.231034482758,93.09625806810664,3.0,7.7312234238535265,-8.375862068965944,0.0
30.0,149,10353.609060402685,101.20792970710147,4.0,8.29127666257048,158,10351.729430379746,102.63208425004264,4.0,8.164970221525863,1.879630022938727,0.0
31.0,133,10109.67857142857,88.4639091975906,4.0,7.67079376083073,129,10102.286821705426,89.56313296169044,4.0,7.88559415894827,7.39174972314504,0.0
32.0,138,9882.398550724638,82.24683916497155,4.0,7.001315897344646,145,9877.251724137932,89.9375820233184,4.0,7.468909656011574,5.146826586706084,0.0
33.0,141,9663.0,77.36329532979951,5.0,6.515164778202712,131,9657.095419847328,79.90384520698123,5.0,6.9812313700155135,5.90458015267177,0.0
34.0,137,9453.43795620438,72.63535653744388,5.0,6.205657307875238,138,9456.78079710145,74.85374701660564,5.0,6.371974099964874,-3.342840897070346,0.0
