bin,n,mean_mm,std_mm,median_q,sqrt_n_bound
0.0,144,10015.958333333334,7330.389578963088,1.0,610.865798246924
1.0,130,13909.811538461538,4452.963676467124,1.0,390.5507502128403
2.0,150,14893.793333333333,2473.528907043963,1.0,201.9627895427291
3.0,134,15278.039179104477,14.170711829585482,1.0,1.2241630517591164
4.0,139,15254.086330935252,14.921009171678069,1.0,1.265583479907065
5.0,140,15226.923214285714,13.098166177749313,1.0,1.1069970874265984
6.0,137,5883.295620437956,7433.841277494967,0.0,635.1159221678773
7.0,146,0.0,0.0,0.0,0.0
8.0,137,0.0,0.0,0.0,0.0
9.0,145,0.0,0.0,0.0,0.0
10.0,120,0.0,0.0,0.0,0.0
11.0,125,0.0,0.0,0.0,0.0
12.0,128,0.0,0.0,0.0,0.0
13.0,139,0.0,0.0,0.0,0.0
14.0,135,0.0,0.0,0.0,0.0
15.0,148,0.0,0.0,0.0,0.0
16.0,138,0.0,0.0,0.0,0.0
17.0,140,0.0,0.0,0.0,0.0
18.0,135,0.0,0.0,0.0,0.0
19.0,134,8169.014925373134,7163.38798021151,1.0,618.8224696293756
20.0,139,12575.030575539568,4226.287337585715,1.0,358.4690133386842
21.0,133,12688.295112781954,3224.6355292102194,1.0,279.61136154598677
22.0,141,12874.613475177304,1555.460475135894,1.0,130.99340272787336
23.0,140,12276.526785714286,2116.1752391313485,2.0,178.84945071029952
24.0,133,12245.817669172933,104.40915167922127,2.0,9.053421633060877
25.0,147,11882.724489795919,108.40618274704549,2.0,8.941191255832354
26.0,127,11546.86811023622,87.7369231583225,3.0,7.785392988067885
27.0,144,11233.085069444445,94.49205003742314,3.0,7.874337503118595
28.0,140,10928.560714285713,90.85774254724294,3.0,7.678880768883054
29.0,145,10636.231034482758,93.09625806810664,3.0,7.7312234238535265
30.0,158,10351.729430379746,102.63208425004264,4.0,8.164970221525863
31.0,129,10102.286821705426,89.56313296169044,4.0,7.88559415894827
32.0,145,9877.251724137932,89.9375820233184,4.0,7.468909656011574
33.0,131,9657.095419847328,79.90384520698123,5.0,6.9812313700155135
34.0,138,9456.78079710145,74.85374701660564,5.0,6.371974099964874
35.0,142,9260.125,71.3632809186583,5.0,5.988673501382787
36.0,133,9075.208646616542,65.36745046254082,6.0,5.668076797844319
37.0,142,8903.714788732394,64.586420138193,6.0,5.419971977908944
