bin,n_a,mean_mm_a,std_mm_a,median_q_a,sqrt_n_bound_a,n_b,mean_mm_b,std_mm_b,median_q_b,sqrt_n_bound_b,delta_mean_mm,delta_median_q
0.0,693,2451.748917748918,1.0682535909391884,18.0,0.04057959834283606,718,2451.384401114206,1.0646175133641587,18.0,0.039731172723933776,0.3645166347118902,0.0
1.0,730,2453.2256849315067,1.015318817487599,18.0,0.03757863538214409,705,2452.8705673758864,1.0544492941773924,18.0,0.03971285791372188,0.3551175556203816,0.0
2.0,697,1228.0161406025825,1227.136417073359,9.0,46.481106235579986,717,1285.9442119944213,1225.4866122595895,9.0,45.76663619495967,-57.928071391838785,0.0
3.0,703,1728.402560455192,912.2614560194534,17.0,34.40659246059198,697,1704.9910329985653,927.5603611670853,17.0,35.133853977004776,23.4115274566268,0.0
4.0,721,2217.629334257975,2.7763577960571855,17.0,0.10339696749556103,706,2217.1388101983002,2.7338880946883584,17.0,0.10289123575000217,0.4905240596749536,0.0
5.0,697,2226.040530846485,2.444364414364402,17.0,0.09258690430971941,705,2225.486170212766,2.448888795887425,17.0,0.09223048783341666,0.5543606337191704,0.0
6.0,714,2235.4576330532213,3.178762560549831,17.0,0.11896219897433204,696,2234.8775143678163,3.098791966955763,17.0,0.11745940638035929,0.5801186854050684,0.0
7.0,698,2246.3656876790833,3.3901538416681896,17.0,0.12831921530872295,715,2245.8573426573425,3.428531823339827,17.0,0.12821982033519114,0.5083450217407517,0.0
8.0,710,2257.6475352112675,3.287763822772254,17.0,0.1233875775832935,704,2257.3093039772725,3.299523988029227,17.0,0.12435548926215964,0.3382312339949749,0.0
9.0,719,2083.5146036161336,623.3981540646179,16.0,23.2488281216077,717,2031.89470013947,694.9874768272684,16.0,25.954782935865293,51.619903476663694,0.0
10.0,618,715.1096278317152,1129.718919076184,0.0,45.443959516119286,611,772.1432078559739,1154.7607795303297,0.0,46.71662068281573,-57.03358002425864,0.0
11.0,628,2499.4008757961783,99.91623897961452,17.0,3.987091993748147,644,2491.189052795031,170.57201094574378,17.0,6.721478841973523,8.211823001147422,0.0
12.0,657,2509.23401826484,3.7265950897677045,17.0,0.14538832148062644,630,2508.673015873016,3.6427053814127546,17.0,0.14512885624136262,0.5610023918238767,0.0
13.0,683,2523.2291361639823,4.85448294650552,17.0,0.18575162764071698,699,2522.6959942775393,5.007143719646332,17.0,0.18938756891039032,0.5331418864429907,0.0
14.0,734,2536.1127384196184,3.631773606709388,17.0,0.13405120991860378,717,2535.67119944212,3.5466607885830816,17.0,0.13245247430220594,0.44153897749856696,0.0
15.0,720,2548.3625,3.903011835854518,17.0,0.14545666303261587,733,2547.9781718963163,3.9101548734476737,17.0,0.14442486556374515,0.38432810368385617,0.0
16.0,697,2561.3342898134865,3.9344230311826838,17.0,0.14902689900138663,689,2560.940856313498,3.8998923648637103,17.0,0.14857406639097898,0.3934334999885323,0.0
17.0,712,2575.682584269663,4.4137322542284805,17.0,0.16541160956436918,707,2575.339108910891,4.500650903289141,17.0,0.1692643979876893,0.34347535877213886,0.0
18.0,676,2590.380917159763,4.276622729723273,17.0,0.16448548960474124,676,2589.9792899408285,4.247345150609057,17.0,0.1633594288695791,0.4016272189346637,0.0
19.0,730,2606.8116438356165,5.166746451978838,17.0,0.19122986562126912,711,2606.1170886075947,5.074489480104051,17.0,0.19030822391471525,0.6945552280217271,0.0
20.0,684,2623.6703216374267,4.769470770822799,17.0,0.18236527284375104,710,2623.1904929577463,5.006578652030059,17.0,0.18789354867142835,0.479828679680395,0.0
21.0,701,2642.1159058487874,5.626978401261719,17.0,0.212528041040764,685,2641.7664233576643,5.5296089951478615,17.0,0.21127549952512584,0.34948249112312624,0.0
22.0,709,2661.437940761636,5.8003073649212356,17.0,0.21783511552663276,701,2660.981455064194,5.769053390515746,17.0,0.2178941393254625,0.45648569744207634,0.0
23.0,677,2681.689069423929,6.099177133573949,17.0,0.23441041949152142,682,2681.241568914956,6.16795803694092,17.0,0.23618331995263261,0.4475005089730075,0.0
24.0,719,2704.3115438108484,7.115928637288942,17.0,0.2653793578554749,702,2703.734686609687,7.002485586934598,17.0,0.26429178706715284,0.5768572011616016,0.0
25.0,686,2729.4744897959185,7.350783618928287,18.0,0.2806542227177542,711,2729.190928270042,7.630901686272166,18.0,0.2861811720126936,0.2835615258763937,0.0
26.0,703,2746.0437411095304,2.8669057892918306,45.0,0.10812739973196056,681,2745.625917767988,2.8915482956660625,45.0,0.11080437144592335,0.4178233415423165,0.0
27.0,712,2760.3188202247193,7.52606841446238,46.0,0.28205133850951963,717,2759.852859135286,7.703158736740779,46.0,0.287679734669971,0.4659610894332218,0.0
28.0,687,2793.348981077147,11.086643218414231,31.0,0.42298182151022534,690,2793.011956521739,11.606394867780608,31.0,0.4418479012793784,0.33702455540787923,0.0
29.0,723,2830.4920470262796,9.392019492787993,19.0,0.3492929632968964,709,2829.8956276445697,9.47638877064155,19.0,0.35589325060811144,0.5964193817098931,0.0
30.0,697,2859.6847202295553,9.60381904178864,18.0,0.36377058568051435,704,2859.151278409091,9.665963575785348,18.0,0.364299709296841,0.5334418204643043,0.0
31.0,697,2894.599713055954,10.948592975169682,18.0,0.4147075305797596,693,2894.2388167388167,10.875152037321717,18.0,0.413112865086463,0.3608963171373034,0.0
32.0,713,2920.8958625525947,5.161296557575345,45.0,0.19329207512126093,709,2920.5137517630465,5.09376119738955,45.0,0.1913002172279709,0.38211078954827826,0.0
33.0,681,2938.6703377386198,8.782051869171818,46.0,0.3365289588375802,690,2938.4826086956523,8.798010834058456,46.0,0.3349345483026215,0.18772904296747583,0.0
34.0,714,2975.670518207283,14.093216859261233,29.0,0.5274253852762916,697,2975.5946915351506,13.896980898797889,29.0,0.526385686647123,0.07582667213227978,0.0
35.0,692,3022.5700867052024,14.045530202205292,17.0,0.5339309434752562,700,3022.2264285714286,14.24749236633585,17.0,0.5385045943945117,0.34365813377371524,0.0
36.0,703,3067.0558321479375,13.035864187363337,17.0,0.4916569296079873,688,3066.4967296511627,12.955474928709062,17.0,0.49392285115200885,0.5591024967748126,0.0
37.0,705,3109.3117021276594,13.14883204054505,17.0,0.49521366408133055,718,3109.240598885794,13.759319095941104,17.0,0.5134932280393205,0.07110324186533035,0.0
38.0,699,3153.014306151645,14.418416467706017,16.0,0.5453545964023686,684,3152.40350877193,14.046872047457484,17.0,0.5370955765588898,0.6107973797152226,-1.0
39.0,699,3197.9349070100143,13.557861160197646,20.0,0.5128054053411112,700,3197.614285714286,13.663581710309513,19.0,0.5164348460555651,0.32062129572841513,1.0
40.0,694,3233.053674351585,10.4361031225461,46.0,0.3961490571513052,712,3233.0863764044943,10.803728640299504,46.0,0.4048868487608324,-0.03270205290937156,0.0
41.0,712,3271.090238764045,16.087151212073927,35.0,0.6028914809558795,683,3271.209736456808,16.373353950200052,35.0,0.626508977310662,-0.11949769276316147,0.0
42.0,697,3333.791606886657,22.275062353986286,17.0,0.8437281505744034,705,3333.380496453901,22.86606008013663,17.0,0.8611856445098309,0.4111104327562316,0.0
43.0,701,3399.2706847360914,19.53839443876464,15.0,0.7379549731737578,690,3398.5192028985507,19.645522764125364,15.0,0.7478922698866363,0.7514818375407231,0.0
44.0,697,3462.118364418938,21.429079264532458,15.0,0.8116842560999907,705,3461.7336879432623,21.740852877082204,15.0,0.8188078895763828,0.3846764756758603,0.0
