bin,n,mean_mm,std_mm,median_q,sqrt_n_bound
0.0,139,11590.480215827338,6619.335965909849,1.0,561.4447488117212
1.0,137,13873.100364963504,4508.444979761088,1.0,385.1824492853573
2.0,144,14667.057291666666,3069.0020875791756,1.0,255.7501739649313
3.0,137,15281.2299270073,16.479991723314345,1.0,1.407980712792245
4.0,141,15143.668439716312,1284.5015144490228,1.0,108.17454180060976
5.0,138,15226.552536231884,11.149017701589598,1.0,0.9490674130023038
6.0,139,6347.192446043166,7527.9754339626215,0.0,638.5145425989871
7.0,145,0.0,0.0,0.0,0.0
8.0,138,0.0,0.0,0.0,0.0
9.0,148,0.0,0.0,0.0,0.0
10.0,119,0.0,0.0,0.0,0.0
11.0,121,0.0,0.0,0.0,0.0
12.0,127,0.0,0.0,0.0,0.0
13.0,143,0.0,0.0,0.0,0.0
14.0,138,0.0,0.0,0.0,0.0
15.0,145,0.0,0.0,0.0,0.0
16.0,133,0.0,0.0,0.0,0.0
17.0,149,0.0,0.0,0.0,0.0
18.0,134,0.0,0.0,0.0,0.0
19.0,135,8632.583333333334,7075.032015116637,1.0,608.921803742912
20.0,141,12684.289007092199,4059.301402806242,1.0,341.8548474561292
21.0,130,13087.726923076923,2344.2880641175693,1.0,205.60766462000655
22.0,142,12865.81338028169,1548.7108269668609,1.0,129.9649255382839
23.0,142,12630.223591549297,120.75886568537827,2.0,10.133858893222317
24.0,131,12148.751908396947,1074.760407779774,2.0,93.90225282158598
25.0,143,11884.38111888112,107.87133226252166,2.0,9.020653971335385
26.0,134,11547.220149253732,93.57458548987366,2.0,8.083612984156554
27.0,145,11226.624137931034,94.53165862693108,3.0,7.850426952043429
28.0,141,10919.359929078015,90.1888711102306,3.0,7.595273106430137
29.0,145,10627.855172413792,96.7759604354267,3.0,8.036806072666565
30.0,149,10353.609060402685,101.20792970710147,4.0,8.29127666257048
31.0,133,10109.67857142857,88.4639091975906,4.0,7.67079376083073
32.0,138,9882.398550724638,82.24683916497155,4.0,7.001315897344646
33.0,141,9663.0,77.36329532979951,5.0,6.515164778202712
34.0,137,9453.43795620438,72.63535653744388,5.0,6.205657307875238
35.0,136,9266.32536764706,68.09171592522625,5.0,5.838816470550969
36.0,143,9076.491258741258,69.02935824569666,6.0,5.7725249288880915
37.0,137,8902.697080291971,62.92978281340174,6.0,5.376454184508239
38.0,146,8733.217465753425,61.50861492575703,6.0,5.0904891912332015
39.0,132,6206.577651515152,3888.1905984528967,3.0,338.4235526438311
40.0,142,2975.2552816901407,4767.981722127594,0.0,400.12013779088215
41.0,135,10473.018518518518,83.3540015828786,6.0,7.173970221560788
42.0,140,10275.994642857142,70.30685228545536,6.0,5.942013534562193
43.0,144,10129.460069444445,48.48616217409559,7.0,4.040513514507966
44.0,131,10031.425572519083,29.594676864399634,8.0,2.5856989231998524
45.0,144,9974.152777777777,16.55276346245516,8.0,1.3793969552045968
46.0,145,9947.458620689655,6.005207071631433,8.0,0.49870530288470494
47.0,153,9947.75,6.379513366196409,8.0,0.5157530872326956
48.0,161,9978.062111801242,17.485396385624767,8.0,1.3780422848726437
49.0,140,10044.108928571428,27.97916765353863,8.0,2.3646712586150658
50.0,125,6797.536,4768.162730158671,6.0,426.477439696631
51.0,143,4214.2010489510485,3544.2694601835415,10.0,296.38670173906314
52.0,137,7115.35401459854,22.9570539415724,10.0,1.961353483359913
53.0,142,7038.3010563380285,23.055216997268193,10.0,1.9347508315592437
54.0,141,6963.767730496454,21.46736820548104,10.0,1.8078785374488169
55.0,141,6894.031914893617,19.99843411423212,11.0,1.6841719707622786
56.0,138,6827.478260869565,19.10515174581763,11.0,1.6263385194764164
57.0,137,6765.46897810219,18.15293094487047,11.0,1.550909556275364
58.0,140,6705.869642857143,17.511236573878737,11.0,1.4799696095971226
59.0,137,6650.56204379562,16.51591759568535,11.0,1.4110500672092774
60.0,142,6597.044014084507,15.690583617867878,12.0,1.3167245272910144
61.0,143,6545.012237762237,15.05042371868916,12.0,1.2585796581975017
62.0,137,6496.894160583942,13.529981774820266,12.0,1.1559443538085905
63.0,138,6453.518115942029,12.823430229379932,13.0,1.0916028729488825
64.0,138,6413.173913043478,12.197605391102867,13.0,1.0383291248794435
65.0,140,6373.382142857143,11.35973431557482,13.0,0.9600727789393592
66.0,142,6335.43485915493,10.932444052394931,14.0,0.9174303249391339
67.0,139,6299.365107913669,9.89969011130471,14.0,0.8396807559670936
68.0,137,6266.945255474453,9.053391230093592,14.0,0.7734834125736226
69.0,135,6238.011111111111,8.172799504532898,14.0,0.7034025860655143
70.0,143,6209.924825174825,8.206459741161535,15.0,0.6862586388991191
71.0,142,6183.947183098591,7.317691509626963,15.0,0.6140870300644904
72.0,139,6160.1205035971225,6.512345614041545,15.0,0.5523699456079952
73.0,140,6138.207142857143,6.011151422006867,16.0,0.5080350200126476
74.0,134,6118.444029850746,5.59702876592762,16.0,0.4835096427955476
75.0,143,6100.129370629371,5.263384443329782,17.0,0.44014631863301495
76.0,144,6082.934027777777,4.947803259036453,17.0,0.4123169382530378
77.0,134,6067.313432835821,4.147728630068301,18.0,0.3583091801395835
