bin,n_a,mean_mm_a,std_mm_a,median_q_a,sqrt_n_bound_a,n_b,mean_mm_b,std_mm_b,median_q_b,sqrt_n_bound_b,delta_mean_mm,delta_median_q
0.0,707,10805.722418670439,7005.189931361654,1.0,263.45728251324823,718,10983.3819637883,6924.246755484332,1.0,258.4105938253372,-177.65954511786185,0.0
1.0,707,13915.233734087695,4430.866168733121,1.0,166.63987292738682,697,13654.328192252511,4780.181317797265,1.0,181.06227846108072,260.9055418351836,0.0
2.0,695,14862.624820143885,2560.2220224762264,1.0,97.1147567443488,701,14758.006419400856,2840.1373409248845,1.0,107.2705068884119,104.61840074302927,0.0
3.0,713,15257.854838709678,572.4090799520269,1.0,21.436888512012974,705,15193.095035460992,1148.5679227164644,1.0,43.257570535605176,64.75980324868578,0.0
4.0,689,15253.567126269956,13.698441013721862,1.0,0.5218690400181716,710,15254.25528169014,13.413663365060248,1.0,0.5034058157307006,-0.6881554201845574,0.0
5.0,716,15227.179818435754,13.387979206725172,1.0,0.5003322740069809,696,15226.763649425287,12.715572525377585,1.0,0.48198253272372016,0.41616901046654675,0.0
6.0,711,5519.37552742616,7318.717347852652,0.0,274.4733446122139,710,5591.658098591549,7339.217217638967,0.0,275.4359140914487,-72.28257116538862,0.0
7.0,703,0.0,0.0,0.0,0.0,713,0.0,0.0,0.0,0.0,0.0,0.0
8.0,730,0.0,0.0,0.0,0.0,719,0.0,0.0,0.0,0.0,0.0,0.0
9.0,703,0.0,0.0,0.0,0.0,714,0.0,0.0,0.0,0.0,0.0,0.0
10.0,631,0.0,0.0,0.0,0.0,611,0.0,0.0,0.0,0.0,0.0,0.0
11.0,634,0.0,0.0,0.0,0.0,644,0.0,0.0,0.0,0.0,0.0,0.0
12.0,623,0.0,0.0,0.0,0.0,634,0.0,0.0,0.0,0.0,0.0,0.0
13.0,699,0.0,0.0,0.0,0.0,693,0.0,0.0,0.0,0.0,0.0,0.0
14.0,736,0.0,0.0,0.0,0.0,725,0.0,0.0,0.0,0.0,0.0,0.0
15.0,707,0.0,0.0,0.0,0.0,720,0.0,0.0,0.0,0.0,0.0,0.0
16.0,715,0.0,0.0,0.0,0.0,700,0.0,0.0,0.0,0.0,0.0,0.0
17.0,678,0.0,0.0,0.0,0.0,703,0.0,0.0,0.0,0.0,0.0,0.0
18.0,713,0.0,0.0,0.0,0.0,696,0.0,0.0,0.0,0.0,0.0,0.0
19.0,697,8280.006814921091,7119.203090117146,1.0,269.659045677741,685,8086.804744525547,7143.965669356013,1.0,272.9568974421096,193.20207039554407,0.0
20.0,674,12743.635385756677,3952.4527297748737,1.0,152.2427907357721,694,12607.980547550433,4160.801598435119,1.0,157.94186880472105,135.65483820624468,0.0
21.0,703,13068.040896159317,2354.4532427908243,1.0,88.7998858854513,691,12810.726845151954,2964.187783119267,1.0,112.76301760036769,257.31405100736265,0.0
22.0,686,13008.94278425656,714.779738741251,1.0,27.290417238546425,706,12988.728045325779,858.57407344284,1.0,32.312861514368954,20.214738930781095,0.0
23.0,710,12592.496830985916,680.0059873889838,2.0,25.52016995409176,695,12499.655755395683,1267.1537982778104,2.0,48.065883269922494,92.84107559023323,0.0
24.0,706,12217.886685552408,473.245975633898,2.0,17.810847247658753,694,12222.50612391931,477.1922658282928,2.0,18.113970700363605,-4.619438366900795,0.0
25.0,688,11874.18277616279,100.32742668370692,2.0,3.8249472836036293,712,11877.694171348314,104.19797145342405,2.0,3.904984076671374,-3.5113951855237246,0.0
26.0,699,11539.748927038627,96.03527428211075,2.0,3.6323876733492573,679,11541.469440353461,93.18692302565938,2.0,3.576185884856777,-1.720513314834534,0.0
27.0,694,11224.756844380403,89.04650057163214,3.0,3.3801589376657106,708,11226.954096045198,90.01423946855569,3.0,3.3829422780117677,-2.1972516647947486,0.0
28.0,712,10924.45856741573,88.78191589704444,3.0,3.327242968730012,701,10928.583808844507,84.35975376522336,3.0,3.1862239255057414,-4.125241428777372,0.0
29.0,715,10641.47972027972,84.96357211626926,3.0,3.177457440418897,696,10646.323994252874,81.62377227515186,3.0,3.093941103566128,-4.844273973154486,0.0
30.0,683,10377.464128843338,78.00906496836443,4.0,2.98493391536887,719,10382.180458970794,81.29509803005749,4.0,3.031795569022726,-4.716330127455876,0.0
