bin,n_a,mean_mm_a,std_mm_a,median_q_a,sqrt_n_bound_a,n_b,mean_mm_b,std_mm_b,median_q_b,sqrt_n_bound_b,delta_mean_mm,delta_median_q
0.0,718,9314.04979108635,19.723433219090452,4.0,0.7360719902684983,696,9314.167025862069,19.07775723751919,4.0,0.7231405218818281,-0.11723477571831609,0.0
1.0,690,9381.744927536232,20.60830120927092,4.0,0.7845446188917097,712,9382.315308988764,21.441518052325808,4.0,0.8035548620197508,-0.5703814525313646,0.0
2.0,716,9455.336941340782,22.8919406040102,4.0,0.8555119874315085,697,9456.219512195123,22.582484968397694,4.0,0.8553726124295535,-0.8825708543408837,0.0
3.0,707,9533.579207920791,23.039839229538885,4.0,0.8665023350446929,702,9533.04594017094,23.164169596795528,4.0,0.874275241649402,0.5332677498518024,0.0
4.0,697,9612.913916786227,23.681452348940688,3.0,0.8969989702278832,713,9612.570126227209,24.56907736902098,3.0,0.920119178484843,0.34379055901808897,0.0
5.0,717,9700.028242677825,27.2200610888081,3.0,1.0165518093739665,699,9699.720314735336,26.831956675598512,3.0,1.0148778082725876,0.30792794248918653,0.0
6.0,697,9792.168579626972,26.632461231113524,3.0,1.0087764021792127,720,9791.663541666667,27.541018983695935,3.0,1.0263931769526047,0.5050379603053443,0.0
7.0,715,9885.92062937063,29.514813334764273,3.0,1.1037914355199732,700,9886.483928571428,28.593999082723993,3.0,1.0807515794528102,-0.5632992007977009,0.0
8.0,701,9988.166547788873,30.36442039261558,3.0,1.1468483301684282,704,9987.927556818182,30.48285389836539,3.0,1.1488657831829592,0.2389909706907929,0.0
9.0,698,10091.9473495702,30.581156640302,3.0,1.1575138493967998,697,10090.48206599713,30.763956411949568,3.0,1.1652679411315172,1.4652835730703373,0.0
10.0,632,10196.816455696202,32.88445251019105,3.0,1.3080732865306681,621,10195.3192431562,32.48231274402226,3.0,1.3034703099626241,1.497212540001783,0.0
11.0,616,10298.71875,34.45600083286413,3.0,1.388271835979977,640,10298.6578125,36.48015004519623,3.0,1.4420045440939318,0.0609375000003638,0.0
12.0,643,10405.414852255055,35.11784290695598,3.0,1.3849125323637006,639,10406.30007824726,35.700165245880825,3.0,1.4122767102767007,-0.8852259922059602,0.0
13.0,697,10528.859038737446,38.356695867820584,3.0,1.4528634556620934,694,10529.712175792507,38.43064196533879,3.0,1.458807219660175,-0.8531370550608699,0.0
14.0,729,10664.600480109739,43.222347164540174,3.0,1.6008276727607471,717,10664.1290097629,42.75124253473683,3.0,1.5965744092154408,0.47147034683803213,0.0
15.0,717,10808.398884239889,43.089354252189274,3.0,1.6092014226900042,727,10807.53438789546,43.733958338881884,3.0,1.6220027323670356,0.8644963444276073,0.0
16.0,695,10957.029496402878,45.09194929204546,2.0,1.7104351295244626,692,10955.880057803468,45.286518230335226,2.0,1.7215351116923865,1.1494385994101322,0.0
17.0,696,11110.480962643678,46.40819141684739,2.0,1.759097955957363,704,11109.93252840909,47.19506138874171,2.0,1.7787308020937014,0.5484342345880577,0.0
18.0,698,11270.038681948425,46.88502383441037,2.0,1.774624323597628,688,11269.441497093023,45.6696587820862,2.0,1.7411394179615074,0.5971848554017924,0.0
19.0,700,11416.453571428572,39.5070640008559,2.0,1.4932266625225312,706,11415.909702549576,39.5987576106696,2.0,1.4903189024607988,0.5438688789963635,0.0
20.0,692,11531.815751445087,29.040773230997214,3.0,1.103964551515666,695,11531.638129496403,28.960067398070404,3.0,1.0985179706966877,0.17762194868373626,0.0
21.0,694,11611.932997118156,19.77155368969452,3.0,0.7505179146483942,698,11612.002148997135,19.475373360776064,3.0,0.7371537529605083,-0.06915187897902797,0.0
22.0,705,11665.353546099292,13.13005536487145,3.0,0.49450649356375775,700,11665.09,12.972291092731469,3.0,0.4903065166586542,0.26354609929148864,0.0
23.0,691,11694.181620839363,7.150601128542474,3.0,0.272021686852287,692,11694.185693641619,6.742942750920168,3.0,0.25632822207261113,-0.004072802255905117,0.0
24.0,707,11699.167256011315,5.583677709700918,3.0,0.20999581313873955,698,11698.868911174784,5.801103809834514,3.0,0.2195750174086835,0.29834483653030475,0.0
25.0,691,11677.22503617945,11.408513340007113,3.0,0.4340003011548374,696,11676.75,11.601150401898996,3.0,0.4397404711472119,0.4750361794503988,0.0
26.0,692,11629.453034682081,18.024694574696667,3.0,0.685196076016416,695,11628.878776978418,17.970992054377362,3.0,0.6816785835345218,0.5742577036635339,0.0
27.0,712,11557.641151685393,26.11890449365786,3.0,0.9788473299926485,707,11557.5,26.53128665157632,3.0,0.9978117297735623,0.1411516853931971,0.0
28.0,688,11450.620639534884,37.657591948006655,2.0,1.435682233559905,693,11450.467171717171,37.73745036311167,2.0,1.4335271991657264,0.15346781771222595,0.0
29.0,714,11308.147759103642,47.955659911547066,2.0,1.7946954664509707,701,11309.950071326677,47.292479053174404,2.0,1.7862122816890187,-1.8023122230351873,0.0
30.0,698,11153.246776504298,47.24975317809089,3.0,1.7884295328497606,708,11155.11052259887,47.93688815788091,3.0,1.8015785789343515,-1.8637460945719795,0.0
31.0,694,11006.315201729107,45.14825445580987,3.0,1.7138043026861904,694,11006.759726224784,45.55536127194674,3.0,1.7292578660976206,-0.44452449567688745,0.0
32.0,708,10863.963276836159,42.252608787626876,3.0,1.5879502783988582,706,10864.81940509915,42.40373911570803,3.0,1.5958857740054087,-0.856128262990751,0.0
33.0,676,10732.109097633136,39.81428445595945,3.0,1.5313186329215174,687,10732.092794759825,40.37396067918335,3.0,1.5403626772528038,0.0163028733113606,0.0
34.0,718,10604.03586350975,39.341281387618935,3.0,1.4682035814469172,702,10604.77386039886,39.19718909756432,3.0,1.479402567273167,-0.7379968891109456,0.0
35.0,696,10481.551005747126,37.3245909892138,3.0,1.4147849703152875,704,10482.80184659091,37.87249764230336,3.0,1.4273734608311335,-1.2508408437843173,0.0
36.0,687,10367.088064046578,33.75151809835271,3.0,1.2877007334613733,689,10367.700290275761,33.83553405432164,3.0,1.289031186668839,-0.612226229182852,0.0
37.0,710,10259.526056338029,34.537211243065485,3.0,1.2961584412626874,710,10259.417957746478,34.49583555615919,3.0,1.2946056394030006,0.10809859155051527,0.0
38.0,686,10151.949708454811,32.067882833201026,4.0,1.22435745592906,687,10151.978529839884,31.392668403118623,4.0,1.1977050042670079,-0.028821385072660632,0.0
39.0,716,10053.656075418994,31.298187933692823,4.0,1.1696682000593608,700,10054.994642857142,30.184072091530453,4.0,1.140850690134783,-1.3385674381479475,0.0
40.0,694,9958.379682997118,30.70777238805322,4.0,1.1656510994475784,697,9960.42862266858,30.225865181559822,4.0,1.144886282420883,-2.0489396714619943,0.0
41.0,685,9867.850364963504,27.1061452487571,4.0,1.035672573351389,699,9869.34477825465,27.55565242511946,4.0,1.0422504954384826,-1.4944132911459747,0.0
42.0,705,9786.356382978724,26.072428245130677,4.0,0.9819444558235857,701,9786.182596291013,26.034794785735468,4.0,0.9833206279003989,0.17378668771016237,0.0
43.0,681,9706.419236417034,25.42690455018695,4.0,0.9743610994572608,703,9705.413584637268,26.128161493483134,4.0,0.9854422746011932,1.0056517797656852,0.0
44.0,717,9630.104951185494,23.91590947778922,4.0,0.8931560062687273,687,9629.626273653566,23.26545328821949,4.0,0.887632407414994,0.4786775319280423,0.0
45.0,691,9560.83502170767,21.998268788099736,4.0,0.8368535841949055,702,9561.029914529914,22.339992056202362,4.0,0.8431686649403547,-0.19489282224458293,0.0
46.0,766,9488.798955613576,24.597097553535974,4.0,0.8887292597883066,771,9489.176718547342,24.116235965427716,4.0,0.8685250233212255,-0.3777629337655526,0.0
47.0,814,9417.343366093366,25.200497471048465,4.0,0.8832769792645302,837,9415.230585424133,25.080301583666834,4.0,0.8669020410511165,2.1127806692329614,0.0
48.0,814,9346.342137592137,21.153642389030527,4.0,0.7414347820431195,782,9345.688938618925,20.87464174883475,4.0,0.7464756649351688,0.6531989732120564,0.0
49.0,675,9288.070370370371,16.260383918412742,5.0,0.6258624688281506,692,9287.934609826589,16.439385817919476,5.0,0.624931679584252,0.13576054378245317,0.0
50.0,672,9239.931175595239,15.324355966865744,5.0,0.591149865424739,655,9239.090839694656,14.664721081591384,5.0,0.5729980674878764,0.8403359005824313,0.0
51.0,691,9193.08538350217,14.348159876634302,5.0,0.5458297257399849,686,9193.033163265307,14.071178963554512,5.0,0.5372401092816513,0.05222023686292232,0.0
52.0,680,9147.686029411765,13.0056755074135,5.0,0.49874488852479565,705,9147.767730496455,13.062963691683077,5.0,0.4919796749682725,-0.08170108468948456,0.0
53.0,725,9105.913793103447,12.764121854835253,5.0,0.47404758487334614,702,9105.799857549857,12.08706704327572,5.0,0.4561969474422374,0.11393555359063612,0.0
54.0,674,9066.18434718101,11.336179400129573,5.0,0.436653315333995,706,9065.709631728045,11.61262149646739,5.0,0.43704677539289377,0.4747154529650288,0.0
55.0,729,9029.196502057614,11.348336312463454,5.0,0.42030875231346126,688,9028.962936046511,10.83392764258446,5.0,0.41303961914525406,0.2335660111020843,0.0
56.0,701,8994.924037089871,9.87691337521388,5.0,0.37304586964343905,716,8995.033170391062,9.91021932841834,5.0,0.37036228514641945,-0.1091333011900133,0.0
57.0,683,8964.913616398244,8.592787790067185,5.0,0.3287938871276132,708,8964.666666666666,8.704581727213249,5.0,0.3271382140342921,0.2469497315778426,0.0
58.0,730,8937.232191780822,8.479905926209009,6.0,0.3138553992965696,694,8936.916066282422,8.103412457116113,6.0,0.30760133039117626,0.31612549840065185,0.0
59.0,676,2446.902366863905,3962.458790589541,0.0,152.4022611765208,706,2761.4012039660056,4109.497333939344,0.0,154.66297242446487,-314.4988371021004,0.0
60.0,729,7711.666323731139,955.1749908147452,9.0,35.37685151165723,689,7670.86611030479,1105.5375881323585,9.0,42.117627782950365,40.80021342634882,0.0
61.0,684,7821.187134502924,2.1965705279757466,10.0,0.08398797327900054,728,7821.212912087912,2.2756632500161924,11.0,0.08434169145126416,-0.02577758498773619,-1.0
62.0,708,5962.524717514124,3328.0889251696026,9.0,125.07724107219678,697,6202.151004304161,3167.1806696052904,8.0,119.96552227037225,-239.62628679003683,1.0
63.0,718,32.64937325905292,504.3939868713107,0.0,18.82381640517196,707,91.71463932107497,992.0406847716412,0.0,37.30952986476925,-59.06526606202205,0.0
64.0,687,1155.0302037845706,2921.2016252878225,0.0,111.45079354683239,713,1064.8807854137447,2821.6501090887323,0.0,105.67162703553515,90.14941837082597,0.0
65.0,741,8447.873481781377,825.5656553452909,3.0,30.327912151123893,704,8443.734730113636,846.8089506256246,3.0,31.91531316295214,4.138751667740507,0.0
66.0,684,4810.225146198831,4229.589184299015,1.0,161.72238444782488,723,5364.54979253112,4119.989037706362,1.0,153.22404098886685,-554.3246463322894,0.0
67.0,731,8518.35533515732,6.365644001348063,3.0,0.2354418483534429,687,8517.461790393014,6.312204673438793,3.0,0.2408256293556808,0.8935447643052612,0.0
68.0,695,4449.008273381295,4257.865530300474,0.0,161.510045455098,718,5018.445682451254,4193.8523589857305,1.0,156.5131799560614,-569.4374090699584,-1.0
69.0,683,8294.93045387994,1365.7194667140898,3.0,52.25780307362456,701,8312.932596291013,1311.4962591187182,3.0,49.53453006329165,-18.002142411072782,0.0
70.0,740,8524.471621621622,5.332218062327559,3.0,0.1960162343807966,699,8524.450643776823,5.6182485379047,3.0,0.2125016759461582,0.020977844798835577,0.0
71.0,671,8532.15126676602,5.103959748011797,3.0,0.19703618067948345,703,8531.949146514937,5.244773478728702,3.0,0.1978103781980806,0.2021202510841249,0.0
72.0,734,8542.439032697548,5.9198211706074195,3.0,0.21850458656223998,692,8541.640895953757,5.825382063519626,3.0,0.22144779844555187,0.7981367437914741,0.0
73.0,682,4501.639662756598,4273.105258810923,2.0,163.6256570632509,722,4761.095914127423,4250.7938893493965,3.0,158.19816760975246,-259.45625137082516,-1.0
74.0,702,463.5662393162393,1913.5362221445293,0.0,72.22177061126874,692,284.9985549132948,1505.1689347871454,0.0,57.21793751255931,178.5676844029445,0.0
75.0,727,8422.039202200825,1180.9847400698593,3.0,43.800299539180905,723,8445.104080221301,1097.9209640768172,3.0,40.83212000386694,-23.06487802047559,0.0
76.0,674,8275.0396884273,1658.8073782924932,3.0,63.8948728372833,696,8260.74209770115,1692.48998374624,3.0,64.15366727274572,14.297590726149792,0.0
77.0,740,1252.2324324324325,3017.8218082252233,0.0,110.93733601403795,695,1300.353597122302,3069.883365321903,0.0,116.44731341245536,-48.1211646898696,0.0
78.0,667,3517.9692653673164,3789.500168865907,0.0,146.7300325207159,722,4263.158587257618,3774.694414309209,2.0,140.47957985605396,-745.1893218903015,-2.0
79.0,724,2562.6671270718234,3831.396107352407,0.0,142.39271492746118,681,2168.7165932452276,3605.324181990617,0.0,138.15632284026483,393.9505338265958,0.0
80.0,703,2629.6802987197725,4040.834122897697,0.0,152.40294539466979,722,2736.5249307479226,4093.5906497008154,0.0,152.34766883185745,-106.84463202815004,0.0
81.0,694,11124.556916426513,1276.1328910683171,7.0,48.44134210444124,703,11190.360597439545,947.8845517907622,7.0,35.750142963905056,-65.80368101303247,0.0
82.0,788,8113.676395939086,5100.626353408478,5.0,181.70229038547157,765,8446.968300653594,4926.854006619665,5.0,178.13078254361406,-333.29190471450784,0.0
83.0,770,8080.427597402598,5162.701021839115,5.0,186.05083037086007,775,8525.64258064516,4929.7193396375715,6.0,177.08074618056787,-445.214983242563,-1.0
84.0,762,4088.39468503937,5476.696002724289,0.0,198.39976315184688,788,4339.796637055838,5538.529537408974,0.0,197.30194540564563,-251.40195201646793,0.0
85.0,714,20.605042016806724,550.5827623085027,0.0,20.605042016806745,691,21.294500723589003,559.7659608240305,0.0,21.29450072358899,-0.689458706782279,0.0
86.0,700,74.18535714285714,979.2811416447933,0.0,37.013348062964866,705,94.59539007092198,1121.5845239279365,0.0,42.24131694424204,-20.410032928064837,0.0
87.0,680,6617.394485294118,6336.698973930963,1.0,243.00131289350523,686,6310.580903790087,6333.98629255001,0.0,241.83272040045549,306.8135815040305,1.0
88.0,728,2576.59375,4978.421458461805,0.0,184.51257520678877,695,2806.073021582734,5135.3225372485595,0.0,194.79388687013642,-229.47927158273387,0.0
89.0,693,11594.546897546898,1667.1987330765346,5.0,63.33164289805998,738,11644.893631436315,1499.5884213837678,5.0,55.20061261919318,-50.34673388941701,0.0
90.0,725,11371.332413793103,1765.5922958691294,4.0,65.57245169284307,696,11457.421336206897,1455.590243949691,4.0,55.17400580953998,-86.08892241379363,0.0
91.0,716,838.0244413407821,2966.2284904897983,0.0,110.85316334563386,731,650.060875512996,2634.8896694340865,0.0,97.454914828347,187.96356582778617,0.0
92.0,694,2072.7096541786746,3453.2809657983285,0.0,131.08475286374917,703,2089.188477951636,3460.3240335351234,0.0,130.50859270425644,-16.478823772961277,0.0
93.0,743,5759.272880215343,5095.759178450798,4.0,186.94527309957306,713,5497.509467040673,5121.077971111051,4.0,191.78587722129384,261.76341317466995,0.0
94.0,684,4085.933479532164,4956.775036936661,0.0,189.5270304550175,712,4298.172050561798,4997.598567781221,0.0,187.29292477161783,-212.23857102963393,0.0
95.0,735,4194.470068027211,4767.238877478315,0.0,175.84225504634338,692,3806.011199421965,4704.82569052083,0.0,178.8506367265504,388.4588686052457,0.0
96.0,688,5556.705668604651,4634.565122890006,5.0,176.69113883851955,737,5448.268995929444,4658.46378065393,5.0,171.59671883640422,108.43667267520686,0.0
97.0,730,3827.658904109589,4180.702958447593,0.0,154.73475859071436,698,3983.265759312321,4146.281758972387,0.0,156.93907905323968,-155.60685520273182,0.0
98.0,701,1476.138730385164,3267.5335310763876,0.0,123.41303820163277,732,1949.9463797814208,3631.9320046356474,0.0,134.24006962436764,-473.8076493962567,0.0
99.0,703,8486.451635846373,560.0245410852023,6.0,21.121725603890596,698,8483.595630372492,561.7654179122143,6.0,21.263134648367817,2.8560054738809413,0.0
100.0,669,3105.9013452914796,4049.8616853717213,0.0,156.57669873550356,645,2818.8213178294573,3961.918944841747,0.0,156.00040610907158,287.0800274620224,0.0
101.0,646,411.3363003095975,1550.6303602565104,0.0,61.00873553333592,671,438.1177347242921,1518.1838179705712,0.0,58.60883624304516,-26.781434414694615,0.0
102.0,644,2308.11801242236,2019.5446945726283,1.0,79.58120948288273,643,2552.015163297045,1970.9569545896386,2.0,77.7269547674842,-243.89715087468494,-1.0
103.0,730,1976.0962328767123,3156.121243972716,0.0,116.81328800993914,712,1883.1211376404494,3120.372937200667,0.0,116.94091989584965,92.97509523626286,0.0
104.0,695,6233.364028776979,2850.017733816794,6.0,108.10733464006374,711,5870.5822784810125,3127.6973140179475,6.0,117.2978135253472,362.78175029596605,0.0
105.0,744,7352.056451612903,61.338973930031266,8.0,2.2487958913022714,719,7353.9770514603615,57.97738724917744,8.0,2.1621916945174333,-1.9205998474581065,0.0
106.0,698,6744.127507163324,1620.7300372109275,6.0,61.34553660840582,726,6870.9693526170795,1353.0052561284335,6.0,50.21473480027765,-126.84184545375592,0.0
107.0,711,6944.383614627285,264.4387207871871,7.0,9.917226843133975,692,6953.579118497109,42.36759157498068,7.0,1.61057416962814,-9.195503869824279,0.0
108.0,705,6809.186170212766,46.354722543374756,7.0,1.7458198513292826,722,6807.806094182825,46.13581008845707,7.0,1.7169970615306698,1.3800760299409376,0.0
109.0,698,6671.467406876791,42.52337016338527,9.0,1.6095332974514671,694,6670.854106628242,41.802692091345655,8.0,1.5868084920123644,0.6133002485485122,1.0
110.0,726,6536.629476584022,38.210317783354895,9.0,1.4181179011941436,709,6537.034203102962,37.150142631801764,9.0,1.3952028923452258,-0.40472651894015144,0.0
111.0,691,6419.772069464544,26.879345983370076,9.0,1.022538511719916,714,6420.768207282913,27.80499020125014,9.0,1.0405756056936606,-0.9961378183688794,0.0
112.0,716,6358.594972067039,13.084457597798483,11.0,0.48898913891096407,688,6358.655523255814,12.415777925754087,11.0,0.47334709581115253,-0.060551188775207265,0.0
113.0,694,6274.375720461095,31.99815038823419,11.0,1.2146331784993005,725,6274.124137931034,33.34460749320625,11.0,1.2383876329663983,0.25158253006065934,0.0
114.0,707,6169.51874115983,29.365409691904745,11.0,1.1043998968081676,694,6168.865273775216,28.735747533143666,11.0,1.090794059633203,0.6534673846135775,0.0
115.0,711,6072.18741209564,28.28897572658849,11.0,1.0609194773191561,706,6072.018767705383,28.059203211464887,11.0,1.0560220435493546,0.16864439025721367,0.0
116.0,689,5978.944484760523,23.96451285786256,14.0,0.9129752288678794,708,5978.711158192091,24.650317723343505,14.0,0.926415670287944,0.23332656843194854,0.0
117.0,727,5899.575309491059,22.771307773619164,16.0,0.8445410575960525,695,5898.946043165468,21.512812904107353,16.0,0.8160275061021484,0.6292663255908337,0.0
118.0,695,5818.688129496403,24.785418128964203,15.0,0.9401644979497799,723,5819.063278008299,25.845429160527818,15.0,0.9612018529234286,-0.37514851189553156,0.0
119.0,721,5725.637656033287,28.44107334420443,12.0,1.059200921540374,699,5725.703147353362,27.902800952023167,12.0,1.0553808586240154,-0.06549132007421576,0.0
120.0,703,5642.26706970128,21.929127625367816,13.0,0.8270727128103614,727,5641.754814305365,22.560817961536127,13.0,0.8367344225851399,0.5122553959154175,0.0
